"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
taza-doble-fondo-de-vidrio-c-asas-200cc;"Taza Doble Fondo de Vidrio C/Asas - 200cc";"Cocina > Vajilla";;;;;;;15,900.00;;0.00;0.00;0.00;0.00;;"SKU0156 BH-001-155";;SI;NO;"<p><span style=""font-family: Geist, -apple-system, BlinkMacSystemFont, Roboto, Helvetica Neue, arial, sans-serif;""><span style=""font-size: 14px;"">Descubr&iacute; la <strong>Taza Doble Fondo de Vidrio con Asas</strong>, el complemento perfecto para tus momentos de caf&eacute; o t&eacute;. Su dise&ntilde;o innovador con doble fondo mantiene la temperatura ideal por m&aacute;s tiempo, mientras que sus asas ergon&oacute;micas garantizan comodidad al tomarla. Fabricada en vidrio resistente, combina elegancia y funcionalidad para disfrutar cada sorbo con estilo. &iexcl;Un toque de distinci&oacute;n para tu d&iacute;a a d&iacute;a!</span></span></p>";;;;;SI;;;;
paellera-tempero-mango-de-madera-28cm;"Paellera Tempero Mango de Madera - 28cm";"Cocina > Utensillos y organización";;;;;;;23,900.00;;1.50;12.00;40.00;40.00;20;BH-001-141;;SI;NO;"<p>Descubrí el <strong>Wok con asas de madera</strong>, el utensilio ideal para cocinar tus platos favoritos con comodidad y estilo. Fabricado con materiales de alta calidad, su diseño incluye <strong>asas de madera ergonómicas</strong> que facilitan el manejo y evitan quemaduras. Perfecto para saltear, freír o cocinar al vapor, este wok aporta practicidad y elegancia a tu cocina diaria.<br />
¡Elegí este wok para llevar tus recetas a otro nivel con funcionalidad y diseño!</p>";"cocina, madera, metal, salteado, wok";"Wok grande con asas de madera y superficie acanalada";"Cocina salteados fácilmente con este wok de madera y metal, ideal para uso casero y profesional. ¡Compra ahora!";"Bambi Hogar";SI;;;;
set-x6-compoteras-sweet-10cm;"SET x6 Compoteras ""SWEET"" - 10cm";"Cocina > Vajilla";;;;;;;17,000.00;;1.20;10.00;18.00;18.00;;BH-001-140;;SI;NO;"<p>Descubr&iacute; el Set de 6 compoteras de vidrio con dise&ntilde;o, el complemento ideal para realzar tus comidas con elegancia y practicidad. Fabricadas en vidrio de alta calidad, estas compoteras combinan resistencia y estilo, permiti&eacute;ndote servir ensaladas y otros platos con una presentaci&oacute;n impecable.</p>
<p>Su dise&ntilde;o moderno y transparente resalta los colores de tus preparaciones, aportando un toque sofisticado a tu mesa. Perfectas para uso diario o reuniones especiales.</p>
<p>&iexcl;Eleg&iacute; este juego para disfrutar de funcionalidad y est&eacute;tica en cada comida!</p>";"diseno, ensaladeras, hogar, servir, vidrio";"Juego de 2 ensaladeras de vidrio con diseño grabado";"Set de 2 ensaladeras transparentes con borde ondulado y diseño de hojas, perfectas para servir ensaladas con estilo. ¡Compra ahora!";"Bambi Hogar";SI;;;;
set-x4-parrillero-herramientas-para-asado-34cm;"SET x4 Parrillero - Herramientas para asado - 34cm";"Cocina > Utensillos y organización";;;;;;;26,700.00;;1.20;5.00;25.00;35.00;4;"BH-001-40 SKU0041";;SI;NO;"<p>Descubrí el Set de herramientas para asado, el complemento ideal para cada parrillero. Este set incluye utensilios de alta calidad diseñados para facilitar la manipulación de carnes y verduras sobre el fuego. Fabricados con materiales resistentes y ergonómicos, aseguran durabilidad y comodidad en cada uso.</p>
<p>¡Elegí este set para llevar tu asado al siguiente nivel con practicidad y estilo!</p>";"asado, herramientas, madera, parrilla, utensilios";"Set de herramientas para asado con mangos de madera";"Conjunto completo para parrilla con tenedor, cuchillo, pinza y espátula. Ideal para cocinar al aire libre. ¡Compra ahora!";"Bambi Hogar";SI;;;;
set-x2-tazas-de-vidrio-comfort;"SET x2 Tazas de Vidrio ""COMFORT""";"Cocina > Vajilla, Cocina > Café y té";;;;;;;23,400.00;;0.50;10.00;20.00;10.00;10;BH-001-26;;SI;NO;"<p>Descubrí el <em>Set de dos tazas de vidrio</em>, el complemento perfecto para disfrutar tus bebidas favoritas con estilo y elegancia. Fabricadas con vidrio de alta calidad, estas tazas ofrecen durabilidad y un diseño transparente que realza el color y la textura de tus infusiones o cafés.</p>
<p>Ideales para uso diario o para compartir momentos especiales, su tamaño y forma aseguran una experiencia cómoda y placentera.</p>
<p>¡Elegí este set para combinar funcionalidad y estética en tu mesa!</p>";"bebidas, cocina, diario, tazas, vidrio";"Set de dos tazas de vidrio transparentes con asa";"Set de dos tazas de vidrio resistente para bebidas calientes o frías. Perfectas para uso diario en cocina o comedor. ¡Lleva las tuyas hoy!";"Bambi Hogar";SI;;;;
cepillo-corporal-de-bano;"Cepillo Corporal de baño";"Baño > Accesorios y organización";Color;Blanco;;;;;15,100.00;;0.20;40.00;10.00;5.00;;BH-001-261;;SI;NO;"<p>Descubr&iacute; el <strong>Cepillo de ba&ntilde;o</strong>, el aliado ideal para una limpieza profunda y pr&aacute;ctica. Su dise&ntilde;o ergon&oacute;mico y la esponja incorporada permiten una experiencia c&oacute;moda y eficaz, cuidando tu piel mientras elimin&aacute;s impurezas.</p>
<p>Fabricado con materiales duraderos, su gancho colgante facilita el secado y almacenamiento, manteniendo el ba&ntilde;o ordenado y seco.</p>
<p>&iexcl;Eleg&iacute; este cepillo para combinar funcionalidad y comodidad en tu rutina diaria de higiene!</p>";"bano, cepillo, esponja, higiene, limpieza";"Cepillo de baño con esponja colgante y mango largo";"Cepillo de baño con mango largo y esponja colgante para una limpieza profunda y fácil. ¡Consigue el tuyo hoy!";"Bambi Hogar";SI;;;;
cepillo-corporal-de-bano;;;Color;Beige;;;;;15,100.00;;0.20;40.00;10.00;5.00;;BH-001-261;;;;;;;;;;;;;
cepillo-corporal-de-bano;;;Color;Rosa;;;;;15,100.00;;0.20;40.00;10.00;5.00;;BH-001-261;;;;;;;;;;;;;
cepillo-corporal-de-bano;;;Color;Violeta;;;;;15,100.00;;0.20;40.00;10.00;5.00;;BH-001-261;;;;;;;;;;;;;
barra-para-cortina-de-bano;"Barra para cortina de baño";"Baño > Accesorios y organización";Color;Blanco;;;;;18,400.00;;1.20;5.00;90.00;5.00;;BH-001-260;;SI;NO;"<p>Descubrí la <strong>Barra para cortina de baño</strong>, el accesorio esencial para mantener tu espacio ordenado y funcional. Fabricada con materiales resistentes, esta barra ofrece una instalación sencilla y un diseño adaptable a cualquier baño. Su estructura robusta asegura que la cortina permanezca firme, evitando filtraciones de agua y manteniendo el ambiente seco y limpio.<br />
¡Elegí esta barra para combinar practicidad y estilo en tu baño!</p>";"bano, barra, cortina, funcional, ganchos";"Barra para cortina de baño con ganchos funcionales";"Barra para cortina de baño resistente con múltiples ganchos, ideal para mantener tu cortina fija. Compra ahora y mejora tu baño.";"Bambi Hogar";SI;;;;
barra-para-cortina-de-bano;;;Color;Negro;;;;;18,400.00;;1.20;5.00;90.00;5.00;;BH-001-260;;;;;;;;;;;;;
barra-para-cortina-de-bano;;;Color;Rosa;;;;;18,400.00;;1.20;5.00;90.00;5.00;;BH-001-260;;;;;;;;;;;;;
barra-para-cortina-de-bano;;;Color;Violeta;;;;;18,400.00;;1.20;5.00;90.00;5.00;;BH-001-260;;;;;;;;;;;;;
barra-para-cortina-de-bano;;;Color;Gris;;;;;18,400.00;;1.20;5.00;90.00;5.00;;BH-001-260;;;;;;;;;;;;;
alfombra-para-bano-con-diseno-en-relieve;"Alfombra para baño con diseño en relieve";"Baño > Alfombras";Color;Rosa;;;;;20,900.00;;0.80;80.00;50.00;2.00;;BH-001-259;;SI;NO;"<p>Descubrí la <em>Alfombra para baño con diseño en relieve</em>, el detalle ideal para aportar estilo y confort a tu baño. Fabricada con materiales de alta calidad, su textura en relieve ofrece una sensación suave y un secado rápido, evitando resbalones y agregando un toque de elegancia. </p>
<p>Perfecta para transformar tu espacio con funcionalidad y diseño.<br />
¡Elegí esta alfombra para sumar comodidad y sofisticación a tu baño!</p>";"absorbente, alfombra, bano, comodidad, relieve";"Alfombra para baño con diseño en relieve BATH absorbente";"Descubre esta alfombra para baño con diseño en relieve BATH, cómoda y absorbente. Perfecta para frente a la ducha. ¡Compra ahora!";"Bambi Hogar";SI;;;;
alfombra-para-bano-con-diseno-en-relieve;;;Color;Violeta;;;;;20,900.00;;0.80;80.00;50.00;2.00;;BH-001-259;;;;;;;;;;;;;
alfombra-para-bano-con-diseno-en-relieve;;;Color;Blanco;;;;;20,900.00;;0.80;80.00;50.00;2.00;;BH-001-259;;;;;;;;;;;;;
alfombra-para-bano-con-diseno-en-relieve;;;Color;Beige;;;;;20,900.00;;0.80;80.00;50.00;2.00;;BH-001-259;;;;;;;;;;;;;
alfombra-para-bano-con-diseno-en-relieve;;;Color;Negro;;;;;20,900.00;;0.80;80.00;50.00;2.00;;BH-001-259;;;;;;;;;;;;;
alfombra-chenille-felpa-para-bano;"Alfombra chenille/felpa para baño";"Baño > Alfombras";Color;Negro;;;;;20,900.00;;0.40;10.00;30.00;8.00;;BH-001-258;;SI;NO;"<p>Descubrí la <em>Alfombra chenille para baño</em>, el complemento perfecto para darle calidez y confort a tu espacio. Fabricada con fibras suaves y absorbentes, esta alfombra ofrece una textura única que seca rápidamente y evita resbalones. Su diseño moderno y versátil se adapta a cualquier estilo de baño, brindando funcionalidad y elegancia.</p>
<p>¡Elegí esta alfombra para sumar comodidad y estilo a tu baño!</p>";"absorbente, alfombra, bano, chenille, suave";"Alfombra chenille para baño suave y absorbente";"Alfombra chenille para baño con textura suave y líneas en relieve, perfecta para mayor comodidad y absorción. ¡Compra ahora!";"Bambi Hogar";SI;;;;
alfombra-chenille-felpa-para-bano;;;Color;Gris;;;;;20,900.00;;0.40;10.00;30.00;8.00;;BH-001-258;;;;;;;;;;;;;
alfombra-chenille-felpa-para-bano;;;Color;Blanco;;;;;20,900.00;;0.40;10.00;30.00;8.00;;BH-001-258;;;;;;;;;;;;;
alfombra-chenille-felpa-para-bano;;;Color;Beige;;;;;20,900.00;;0.40;10.00;30.00;8.00;;BH-001-258;;;;;;;;;;;;;
alfombra-antideslizante-para-bano-ovalada;"Alfombra antideslizante para baño ovalada";"Baño > Alfombras";;;;;;;20,900.00;;0.30;40.00;60.00;2.00;;BH-001-257;;SI;NO;"<p>Descubrí la Alfombra antideslizante para baño ovalada, un accesorio imprescindible para tu hogar. Fabricada con materiales de alta calidad, ofrece seguridad y comodidad al evitar resbalones en superficies húmedas. Su diseño ovalado se adapta a cualquier baño, combinando funcionalidad y estilo. Ideal para mantener tu espacio seguro y elegante.</p>
<p>¡Elegí esta alfombra para sumar protección y buen gusto en tu baño!</p>";"antideslizante, bano, drenaje, ovalada, seguridad";"Alfombra antideslizante ovalada para baño segura y resistente";"Alfombra ovalada antideslizante con diseño perforado, ideal para baño. Facilita drenaje y secado rápido. ¡Compra ahora y evita resbalones!";"Bambi Hogar";SI;;;;
porta-papel-higienico-con-tapa;"Porta papel higiénico con tapa";"Baño > Accesorios y organización";;;;;;;15,400.00;;0.50;12.00;15.00;10.00;;BH-001-256;;SI;NO;"<p>Descubrí el <em>Porta papel higiénico con tapa</em>, un accesorio esencial para mantener tu baño ordenado y protegido. Fabricado con materiales de alta calidad, su tapa evita la acumulación de polvo y humedad, garantizando higiene y comodidad. Su diseño compacto y funcional se adapta perfectamente a cualquier espacio, aportando un toque de elegancia y practicidad.</p>
<p>¡Elegí este porta papel para combinar estilo y funcionalidad en tu hogar!</p>";"bano, organizador, plastico, practico, protector";"Porta papel higiénico con tapa protectora y diseño práctico";"Soporte para papel higiénico con tapa, fácil de instalar y proteger el rollo. Ideal para baños modernos. ¡Compra ahora!";"Bambi Hogar";SI;;;;
porta-panuelos-rectangular-con-tapa-madera;"Porta pañuelos rectangular con tapa Madera";"Baño > Accesorios y organización";;;;;;;16,200.00;;0.50;8.00;25.00;15.00;;BH-001-255;;SI;NO;"<p>Descubrí el <strong>Porta pañuelos rectangular con tapa</strong>, un accesorio práctico y elegante para tu hogar. Fabricado con materiales de alta calidad, protege tus pañuelos del polvo y la humedad, manteniéndolos siempre accesibles y en perfecto estado. Su diseño compacto y moderno se adapta fácilmente a cualquier ambiente, aportando orden y estilo.</p>
<p>Ideal para mantener tus espacios organizados con funcionalidad y buen gusto.<br />
¡Elegí este porta pañuelos para combinar comodidad y diseño en tu día a día!</p>";"bano, dispensador, moderno, organizador, practico";"Porta pañuelos rectangular con tapa moderna y funcional";"Porta pañuelos rectangular con tapa para dispensar fácilmente. Ideal para baños y escritorios. Diseño moderno y práctico. ¡Compra ya!";"Bambi Hogar";SI;;;;
